section,id,label
A,1,"Regulated - Business flows - Gross advances"
A,2,"Regulated - Business flows - Net advances"
A,3,"Regulated - Business flows - New commitments"
A,4,"Regulated - Balances outstanding - Loans (exc overdrafts)"
A,5,"Regulated - Balances outstanding - Commitments stock"
A,6,"Regulated - Overdrafts (secured) - Net movement in quarter"
A,7,"Regulated - Overdrafts (secured) - Overdraft balances"
A,8,"Regulated - Overdrafts (secured) - Aggregate of credit limits"
B,1,"Non-regulated - Business flows - Gross advances"
B,2,"Non-regulated - Business flows - Net advances"
B,3,"Non-regulated - Business flows - New commitments"
B,4,"Non-regulated - Balances outstanding - Loans (exc overdrafts)"
B,5,"Non-regulated - Balances outstanding - Commitments stock"
B,6,"Non-regulated - Overdrafts (secured) - Net movement in quarter"
B,7,"Non-regulated - Overdrafts (secured) - Overdraft balances"
B,8,"Non-regulated - Overdrafts (secured) - Aggregate of credit limits"
C,1,"All (Regulated and Non-regulated) - Business flows - Gross advances"
C,2,"All (Regulated and Non-regulated) - Business flows - Net advances"
C,3,"All (Regulated and Non-regulated) - Business flows - New commitments"
C,4,"All (Regulated and Non-regulated) - Balances outstanding - Loans (exc overdrafts)"
C,5,"All (Regulated and Non-regulated) - Balances outstanding - Commitments stock"
C,6,"All (Regulated and Non-regulated) - Overdrafts (secured) - Net movement in quarter"
C,7,"All (Regulated and Non-regulated) - Overdrafts (secured) - Overdraft balances"
C,8,"All (Regulated and Non-regulated) - Overdrafts (secured) - Aggregate of credit limits"
